中分類ID,中分類,小分類ID,小分類,種別,通し番号 ,優先度,割り当て時間数（h）, DS-BoK KA番号,内容
B3,機械学習,1,一般,スキル,ACM-63-14,T2,0.5,KA01.02,単純な最適化関数や学習方法の導出を最も基本的な原理から追うことができる(例：決定木の原理を情報理論から追う，ロジスティック回帰を最尤法や確率的勾配降下法から追う，主成分分析を分散最小化や固有値から追う)．
B3,機械学習,1,一般,スキル,ACM-63-15,T2,0.5,KA01.02,ブートストラップ法や統計学的有意差検定を用いてモデルの性能を分析することができる．
B3,機械学習,1,一般,スキル,ACM-63-16,T2,0.5,KA01.02,どのように効率的にモデルを製品に移行するか，初期から移行をサポートするツールをどのように選ぶのかを理解している．
B3,機械学習,1,一般,スキル,ACM-63-17,T2,0.5,KA01.02,データサイズによってどのツールを使うべきか理解している：ビッグデータに対しては並列実行できる機械学習ツールを選ぶことは必須であるし，そうでなければ学習過程により多くの時間を要するものも許容される．
B3,機械学習,1,一般,スキル,ACM-63-18,T2,0.5,KA01.02,最先端の機械学習ツールが利用可能であることに気づいている．
B3,機械学習,1,一般,スキル,ACM-63-19,E,0.5,KA01.02,特にデータの前処理，モデル選択，モデル構造探索，ハイパーパラメータチューニングを含む機械学習のパイプラインをどのように自動化しているかを含め，自動機械学習(メタ学習)について記述することができる．
B3,機械学習,1,一般,スキル,DS-123,E,1,KA01.02,機械学習にあたる解析手法の名称を3つ以上知っており，手法の概要を説明できる．
B3,機械学習,1,一般,スキル,DS-124,E,1,KA01.02,指示を受けて機械学習のモデルを使用したことがあり，どのような問題を解決することができる理解している．
B3,機械学習,1,一般,スキル,DS-125,T1,0.5,KA01.02,「教師あり学習」「教師なし学習」の違いを理解している．
B3,機械学習,1,一般,スキル,DS-126,T1,0.5,KA01.02,過学習とは何か，それがもたらす問題について説明できる．
B3,機械学習,1,一般,スキル,DS-127,E,0.5,KA01.02,次元の呪いとは何か，その問題について説明できる．
B3,機械学習,1,一般,スキル,DS-128,E,0.5,KA01.02,教師あり学習におけるアノテーションの必要性を説明できる．
B3,機械学習,1,一般,スキル,DS-129,E,0.5,KA01.02,観測されたデータにバイアスが含まれる場合や，学習した予測モデルが少数派のデータをノイズと認識してしまった場合などに，モデルの出力が差別的な振る舞いをしてしまうリスクを理解している．
B3,機械学習,1,一般,態度,DS-130,E,0.5,KA01.02,機械学習における大域的（global）な説明（モデル単位の各変数の寄与度など）と局所的（local）な説明(予測するレコード単位の各変数の寄与度など）の違いを理解している．
B3,機械学習,1,一般,態度,ACM-63-20,T1,0.25,KA01.02,機械学習は最近人気を博しているが，最近の発明ではないことを十分理解している．新しい発明が必要だと考える前に，既存の手法を探すことができる．
B3,機械学習,1,一般,態度,ACM-63-21,T1,0.25,KA01.02,機械学習は場当たり的なトリックの集合ではなく，責任を持って使用するべきだということを十分に理解している．
B3,機械学習,1,一般,態度,ACM-63-22,T1,0.25,KA01.02,一般に「機械学習を行う」というのは都合よくフォーマットされたデータセットに機械学習プログラムを適用するといった単純なプロセスではなく，顧客の目標へと向かうプロセスであるということを理解している．
B3,機械学習,1,一般,態度,ACM-63-23,T1,0.25,KA01.02,学習済みのモデルを比較する側面として，経験誤差最小化からモデルのサイズ・複雑度，人間の解釈可能性まで様々あることを十分に理解している．
B3,機械学習,2,教師あり学習,知識,ACM-63-24,T1,0.25,KA01.02,質，効率，解釈可能性などモデル比較のためのすべての側面を考えた上で結果を公正に述べ，率直に比較する責任を理解している．
B3,機械学習,2,教師あり学習,知識,ACM-64-01,T1,0.25,KA01.02,教師あり学習の主要なタスクを理解している：回帰と分類
B3,機械学習,2,教師あり学習,知識,ACM-64-02,T1,0.25,KA01.02,回帰と分類の使用例を理解している．
B3,機械学習,2,教師あり学習,知識,ACM-64-03,T1,0.25,KA01.02,モデルの複雑度と汎化性の関係を含む機械学習における重要な懸念事項やトレードオフを理解している，バイアス・バリアンスのトレードオフを理解している，単純なモデルを使うモチベーションであるところのオッカムの剃刀を理解している．
B3,機械学習,2,教師あり学習,知識,ACM-64-04,T1,0.25,KA01.02,訓練データ，テストデータ，検証データを分割する必要性を理解している．訓練誤差と汎化誤差の定義を理解している．
B3,機械学習,2,教師あり学習,知識,ACM-64-05,T1,0.25,KA01.02,分類タスクにおける一般的な評価指標(例：正解率，感度，特異性，適合率，再現率，F1スコア，ROC曲線下面積，リグレット)および回帰タスクにおける一般的な評価指標(例：二乗平均平方根誤差，平均絶対誤差，決定係数)を理解している．
B3,機械学習,2,教師あり学習,知識,ACM-64-06,T1,0.25,KA01.02,検証データの必要性，交差検証のプロセスとその目標：ハイパーパラメータのチューニングおよびモデル性能の評価を理解している．
B3,機械学習,2,教師あり学習,知識,ACM-64-07,T1,0.25,KA01.02,データ数やクラス階層のような，訓練データ・テストデータ・検証データの質を評価する基準を理解している．
B3,機械学習,2,教師あり学習,知識,ACM-64-08,T1,0.25,KA01.02,分類/回帰アルゴリズムで，線形/非線形なものをそれぞれ1つ以上理解している(例：線形回帰，線形分類，ロジスティック回帰，近傍法，ナイーブベイズ，決定木学習)．
B3,機械学習,2,教師あり学習,知識,ACM-64-09,T1,0.25,KA01.02,多項式の特徴量やアンサンブルを含む基本的なアルゴリズムへの一般的な拡張を理解している(例：バギングモデル，ブースティングモデル，ランダムフォレスト)．
B3,機械学習,2,教師あり学習,知識,ACM-64-10,T2,0.5,KA01.02,あるモデルについてバイアスが大きいのかバリアンスが大きいのか判断するためのアプローチを理解している(例：訓練データに対する性能とテストデータに対する性能の比較，学習曲線)．
B3,機械学習,2,教師あり学習,知識,ACM-64-11,T2,0.5,KA01.02,特徴量を増やしたり減らしたりする理由をそれぞれ2つ以上理解しており，そのトレードオフも理解している．
B3,機械学習,2,教師あり学習,知識,ACM-64-12,T2,0.5,KA01.02,教師あり学習の分類器がどのように多クラス分類問題に適応するのか，2クラス分類モデルがどのように多クラス分類問題に拡張することができるかを理解している．
B3,機械学習,2,教師あり学習,知識,ACM-64-13,T2,0.5,KA01.02,巨視的な/微視的な指標を用いてどのように性能を表現するか理解している．
B3,機械学習,2,教師あり学習,知識,ACM-64-14,T2,0.5,KA01.02,1つ以上の発展的な教師あり学習のアルゴリズムを理解している(例：カーネルSVM，ニューラルネットワーク)．
B3,機械学習,2,教師あり学習,スキル,ACM-64-15,E,0.5,KA01.02,基本的な原理から教師あり学習のアルゴリズムを導出することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-16,T1,0.25,KA01.02,混同行列を用いて分類モデルの性能を表現できる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-17,T1,0.25,KA01.02,分類/回帰タスクの評価指標の長所/短所を比較することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-18,T1,0.25,KA01.02,2つ以上の実用的な分類/回帰アルゴリズムのトレードオフを比較することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-19,T1,0.25,KA01.02,小規模/中規模なデータセットに対して2つ以上の分類/回帰アルゴリズムを適用することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-20,T1,0.25,KA01.02,学習済みモデルから得られる情報という観点で訓練誤差と汎化誤差を比較することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-21,T1,0.25,KA01.02,様々な指標を用いてアルゴリズムの性能を比較することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-22,T1,0.25,KA01.02,小規模/中規模/大規模なデータセットに対して2つ以上の拡張アルゴリズムを適用することができる(例：アンサンブルアルゴリズム)，様々な指標を用いてアルゴリズムの性能を比較することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-23,T1,0.25,KA01.02,多項式の特徴量やアンサンブルなどの拡張アルゴリズムが適切であるのはどんなときか，それぞれが対処可能な問題に基づいて正当化することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-24,T2,0.5,KA01.02,大規模なデータセットに対して2つ以上の分類/回帰アルゴリズムを適用することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-25,T2,0.5,KA01.02,大規模なデータセットに対して1つ以上の拡張アルゴリズムを適用することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-26,T2,0.5,KA01.02,バイアス/バリアンスを軽減する手法を適用することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-27,T2,0.5,KA01.02,中規模/大規模なサイズの問題に対して特徴量の追加/選択を適用することができる．
B3,機械学習,2,教師あり学習,スキル,ACM-64-28,T2,0.5,KA01.02,発展的な教師あり学習のアルゴリズムを適用することができる(例：カーネルSVM，ニューラルネットワーク)．
B3,機械学習,2,教師あり学習,態度,ACM-64-29,E,0.5,KA01.02,単純な最適化関数および学習アルゴリズムを基本的な原理から導出することができる(例：最尤法や確率的勾配降下法を用いてロジスティック回帰を導出する)．これらの技術を類似のモデルに拡張することができる．
B3,機械学習,2,教師あり学習,態度,ACM-64-30,T1,0.25,KA01.02,アルゴリズムの選択と評価指標は学習されたモデルの質にとってどれくらい重要であるか十分理解している．これらの選択は重要な利害関係者(開発したモデルを提供する相手)に影響を及ぼすこと，重要な利害関係者とともに下すべきであるということを知っている．
B3,機械学習,3,教師なし学習,知識,ACM-64-31,T1,0.25,KA01.02,自分たちが自信を持っている，原理に基づいたモデルの評価方法を適用することの重要性を十分理解している．
B3,機械学習,3,教師なし学習,知識,ACM-65-01,T1,0.25,KA01.02,クラスタリングや次元削減などを含む教師なし学習の主要なタスクを理解している．
B3,機械学習,3,教師なし学習,知識,ACM-65-02,T1,0.25,KA01.02,両方のタスクの使用例を理解している(例：データ探索/要約/可視化，特徴量選択，データ圧縮，データのノイズ除去，プロトタイプ学習，推薦システム，トピックモデリング)．
B3,機械学習,3,教師なし学習,知識,ACM-65-03,T1,0.25,KA01.02,1つ以上のクラスタリングアルゴリズムを理解している(例：k平均法，階層クラスタリング)．
B3,機械学習,3,教師なし学習,知識,ACM-65-04,T1,0.25,KA01.02,connectivity-basedクラスタリングとcentroid-basedクラスタリングのトレードオフを理解している．
B3,機械学習,3,教師なし学習,知識,ACM-65-05,T1,0.25,KA01.02,1つ以上の次元削減アルゴリズムを理解している(例：主成分分析)．
B3,機械学習,3,教師なし学習,知識,ACM-65-06,T1,0.25,KA01.02,特徴量変換，特徴量選択，特徴量の射影の類似点，相違点を理解している．
B3,機械学習,3,教師なし学習,知識,ACM-65-07,T2,0.5,KA01.02,1つ以上の発展的なクラスタリングアルゴリズムを理解している(例：ガウス混合モデルのような密度ベースのアルゴリズム)．
B3,機械学習,3,教師なし学習,知識,ACM-65-08,T2,0.5,KA01.02,1つ以上の発展的な次元削減アルゴリズムを理解している(例：独立成分分析，非負値行列因子分解)．
B3,機械学習,3,教師なし学習,知識,ACM-65-09,E,0.5,KA01.02,アルゴリズムを効率的に実装するための数学的な手法を1つ以上理解している(例：行列分解，特異値分解，主成分分析のための固有値分解)．
B3,機械学習,3,教師なし学習,知識,ACM-65-10,E,0.5,KA01.02,1つ以上の発展的なアルゴリズムを理解している(例：スペクトラルクラスタリング，カーネルk平均法，カーネル主成分分析，潜在ディリクレ配分法)．
B3,機械学習,3,教師なし学習,知識,ACM-65-11,E,0.5,KA01.02,主成分分析と自己符号化器とのつながりを理解している，非線形次元削減への一般化を理解している．
B3,機械学習,3,教師なし学習,スキル,ACM-65-12,E,0.5,KA01.02,基本的な原理から教師なし学習のアルゴリズムを導出することができる．
B3,機械学習,3,教師なし学習,スキル,ACM-65-13,T1,0.25,KA01.02,小規模/中規模/大規模なデータセットに対して1つ以上クラスタリング/次元削減アルゴリズムを適用することができる．
B3,機械学習,3,教師なし学習,スキル,ACM-65-14,T1,0.25,KA01.02,様々な指標を用いて教師なし学習アルゴリズムの性能を表現することができる(例：可視化，(可能ならば)正解データとの比較，クラスター密度のような指標の計算，他の応用先での有用性という間接的な指標)．
B3,機械学習,3,教師なし学習,スキル,ACM-65-15,T1,0.25,KA01.02,k平均法のクラスターの数や主成分分析の要素数などのハイパーパラメータをどのように選択するかを記述する手法を説明でき，かつ適用できる．
B3,機械学習,3,教師なし学習,スキル,ACM-65-16,T2,0.5,KA01.02,2つ以上のクラスタリングアルゴリズムのトレードオフを比較することができる．
B3,機械学習,3,教師なし学習,スキル,ACM-65-17,T2,0.5,KA01.02,2つ以上の次元削減アルゴリズムのトレードオフを比較することができる．
B3,機械学習,3,教師なし学習,スキル,ACM-65-18,E,0.5,KA01.02,発展的な教師なし学習のアルゴリズムを適用することができる．
B3,機械学習,3,教師なし学習,態度,ACM-65-19,E,0.5,KA01.02,単純な最適化関数および学習アルゴリズムを基本的な原理から導出することができる(例：分散最小化や固有値を用いて主成分分析を導出する)．これらの技術を類似のモデルに拡張することができる．
B3,機械学習,3,教師なし学習,態度,ACM-65-20,T1,0.25,KA01.02,アルゴリズムの選択と評価指標は学習されたモデルの質にとってどれくらい重要であるか十分理解している．これらの選択は重要な利害関係者(開発したモデルを提供する相手)に影響を及ぼすこと，重要な利害関係者とともに下すべきであるということを知っている．
B3,機械学習,3,教師なし学習,態度,ACM-65-21,T1,0.25,KA01.02,自分たちが自信を持っている，原理に基づいたモデルの評価方法を適用することの重要性を十分理解している．
B3,機械学習,3,教師なし学習,態度,ACM-65-22,T2,0.5,KA01.02,教師なし学習はデータ探索・理解・要約・可視化に役立つ技術を提供することを十分理解している．
B3,機械学習,4,混合手法,知識,ACM-65-23,T2,0.5,KA01.02,教師なし学習は教師あり学習アルゴリズムの質や効率を向上させる有用な前処理段階となり得ることを十分理解している．
B3,機械学習,4,混合手法,知識,ACM-66-01,E,0.5,KA01.02,データ構造やデータ点どうしの相関関係が学習モデルで有効活用されるような機械学習の問題や領域の例を理解している(例：時系列予測，系列予測，推薦システム)．
B3,機械学習,4,混合手法,知識,ACM-66-02,E,0.5,KA01.02,時間依存性や各データ点に共有される情報の仮定が学習においてどのように有効活用され得るのか理解している．
B3,機械学習,4,混合手法,知識,ACM-66-03,E,0.5,KA01.02,混合アプローチではなく教師あり学習/教師なし学習アプローチを利用することの欠点を理解している(例：モデルの解釈可能性や性能などの問題)．
B3,機械学習,4,混合手法,知識,ACM-66-04,T2,0.5,KA01.02,問題に対して標準的なアプローチを1つ以上理解している(例：系列予測には隠れマルコフモデルを用いる，推薦システムには強調フィルタリングを用いる)．
B3,機械学習,4,混合手法,知識,ACM-66-05,T2,0.5,KA01.02,この文脈で訓練データとテストデータを分割する必要性を理解している．
B3,機械学習,4,混合手法,知識,ACM-66-06,T2,0.5,KA01.02,選択されたタスクに対する一般的な評価指標を理解している(例：再現率，適合率，推薦システムにおけるF1スコア)．
B3,機械学習,4,混合手法,スキル,ACM-66-07,T2,0.5,KA01.02,選択された問題に対する訓練データ・検証データ・テストデータの質を評価する基準を理解している．
B3,機械学習,4,混合手法,態度,ACM-66-08,E,0.5,KA01.02,問題をそれに対する学習の枠組みに対応づけることができる，すなわちデータを入出力に対応させ，ハイパーパラメータの設定について熟慮し，適切な学習アルゴリズムを実行することができる．
B3,機械学習,5,深層学習,知識,ACM-66-09,E,0.5,KA01.02,機械学習モデルに存在する困難は一般にこれらの状況ではより顕著になり得ることを認識している(例：時間の不均一性，データの過疎性)．
B3,機械学習,5,深層学習,知識,ACM-67-01,T2,0.5,KA01.02,(深層ではないネットワークも含めて)多層ニューラルネットワークはどのように学習し，入力の特徴量を高次の特徴量に符号化しているかを理解している．
B3,機械学習,5,深層学習,知識,ACM-67-02,T2,0.5,KA01.02,順伝播型ネットワーク，畳み込みニューラルネットワーク(CNN)，再帰型ニューラルネットワーク(RNN)，LSTMなどの一般的な深層学習のアーキテクチャ，目的，特性を理解している．
B3,機械学習,5,深層学習,知識,ACM-67-03,T2,0.5,KA01.02,一般的な深層学習アプローチの実践的な課題を理解している(例：深層学習のアーキテクチャの選択，十分なデータの確保，過学習の可能性，学習時間の長さ，解釈可能性)．
B3,機械学習,5,深層学習,知識,ACM-67-04,T2,0.5,KA01.02,早期終了，パラメータ共有，ドロップアウトなどの深層学習アーキテクチャにおける正則化の手法の例を理解している．
B3,機械学習,5,深層学習,知識,ACM-67-05,T2,0.5,KA01.02,GPUを搭載したツールや分散システムなどの深層学習における他の課題を解決する手法の例を理解しいている．
B3,機械学習,5,深層学習,知識,ACM-67-06,T2,0.5,KA01.02,データサイズに対応できる適切なツールを選択することができる：特にビッグデータの要求を並列実行できる深層学習ツールを用いて処理する．
B3,機械学習,5,深層学習,知識,ACM-67-07,T2,0.5,KA01.02,最先端の深層学習ツールが利用可能であることに気づいている．
B3,機械学習,5,深層学習,知識,ACM-67-08,T2,0.5,KA01.02,深層学習の文脈で現れる，よく用いられる学習アルゴリズムを1つ以上理解している(例：順伝播型ネットワークにおいて逆伝播がどのように利用されるか，畳み込みネットワークにおいて高次の特徴量を学習するのに逆伝播がどのように利用されるか，再帰型ネットワークにおいて時間ステップを通して逆伝播がどのように利用されるか)．
B3,機械学習,5,深層学習,知識,ACM-67-09,T2,0.5,KA01.02,畳み込み操作とは何か，なぜそれが有用なのかを理解している(例：画像に含まれる垂直なエッジを検出する．
B3,機械学習,5,深層学習,知識,ACM-67-10,T2,0.5,KA01.02,プーリングを理解している：maxプーリングなどのプーリング関数の例と実用例を理解している．
B3,機械学習,5,深層学習,知識,ACM-67-11,T2,0.5,KA01.02,再帰型ニューラルネットワークにおける長期/短期のデータ依存性の課題を理解している：LSTMなど1つ以上の解決策を理解している．
B3,機械学習,5,深層学習,知識,ACM-67-12,E,0.5,KA01.02,敵対的生成ネットワーク(GAN)などの深層生成モデルおよびそれらが利用されている応用先を理解している．
B3,機械学習,5,深層学習,知識,ACM-67-13,E,0.5,KA01.02,これらのアプローチの実践的な課題を理解している(例：収束，モード崩壊)．
B3,機械学習,5,深層学習,スキル,ACM-67-14,E,0.5,KA01.02,上の影響に対処したりそれを軽減したりするアプローチを理解している．
B3,機械学習,5,深層学習,スキル,ACM-67-15,T2,0.5,KA01.02,与えられたデータセットおよびタスクに対して，最も適切な深層学習アプローチの種類を決定することができる．
B3,機械学習,5,深層学習,スキル,ACM-67-16,T2,0.5,KA01.02,"深層学習の道具一式を用いて学習モデル済みをデータセットに適用することができる(例：PyTorch, Tensorflow)．"
B3,機械学習,5,深層学習,スキル,ACM-67-17,T2,0.5,KA01.02,"深層学習の道具一式を用いて，ネットワークの設定も含めてデータセットに対してモデルを学習させることができる(例：PyTorch, Tensorflow)．"
B3,機械学習,5,深層学習,スキル,ACM-67-18,E,0.5,KA01.02,深層学習の道具一式を用いて特定の目標のために生成的アプローチを(1から)適用することができる．
B3,機械学習,5,深層学習,態度,ACM-67-19,E,0.5,KA01.02,与えられたシステムのアーキテクチャに対してツールキットが動作するように設定を行うことができる．
B3,機械学習,5,深層学習,態度,ACM-67-20,T1,0.25,KA01.02,解釈したり説明したりするのが困難または不可能な機械学習モデルを用いることの潜在的で負の影響を理解している．
B3,機械学習,5,深層学習,態度,ACM-67-21,T1,0.25,KA01.02,深層学習の能力が必要以上になってしまうような問題も多数存在することを十分理解している．
C,モデリングとシミュレーション,1,サンプリング,スキル,ACM-67-22,T1,0.25,KA01.02,ディープフェイク周辺の社会的・政治的懸念について理解し，十分に認識している．
C,モデリングとシミュレーション,1,サンプリング,スキル,DS-039,E,3,KA01.06,標本誤差とは何かを説明できる．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-040,E,4.5,KA01.06,実験計画法の概要を説明できる．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-041,E,4.5,KA01.06,可視化における目的の広がりについて概略を説明できる（単に現場の作業支援する場合から，ビッグデータ中の要素間の関連性をダイナミックに表示する場合など）．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-042,T1,1,KA01.06,散布図などの軸だしにおいて，縦軸・横軸の候補を適切に洗い出せる．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-043,T1,1,KA01.06,積み上げ縦棒グラフでの属性の選択など，適切な層化（比較軸）の候補を出せる．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-044,T2,3,KA01.06,サンプリングやアンサンブル平均によって適量にデータ量を減らすことができる．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-045,T2,1.38,KA01.06,適切な情報濃度を判断できる（データインク比など）．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-046,T2,3,KA01.06,不必要な誇張をしないための軸表現の基礎を理解できている（コラムチャートのY軸の基準点は「0」からを原則とし軸を切らないなど）．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-047,T2,2.5,KA01.06,強調表現がもたらす効果と，明らかに不適切な強調表現を理解している（計量データに対しては位置やサイズ表現が色表現よりも効果的など）．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-048,T2,3,KA01.06,1～3次元の比較において目的（比較，構成，分布，変化など）に応じ，BIツール，スプレッドシートなどを用いて図表化できる．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-049,T2,2,KA01.06,端的に図表の変化をアニメーションで可視化できる（人口動態のヒストグラムが経年変化する様子を表現するなど）．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-050,T1,1,KA01.06,データ解析部門以外の方に，データの意味を伝えるサインとしての可視化ができる．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-051,T2,2,KA01.06,ボロノイ図の概念と活用方法を説明できる．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-052,T1,2,KA01.06,1～3次元の図表を拡張した多変量の比較を適切に可視化できる（平行座標，散布図行列，テーブルレンズ，ヒートマップなど）．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-053,E,1.5,KA01.06,データの性質を理解するために，データを可視化し眺めて考えることの重要性を理解している．
C,モデリングとシミュレーション,2,データ可視化,スキル,DS-054,E,3,KA01.06,外れ値を見出すための適切な表現手法を選択できる．
C,モデリングとシミュレーション,3,分析プロセス,スキル,DS-055,E,3,KA01.06,データの可視化における基本的な視点を挙げることができる（特異点，相違性，傾向性，関連性を見出すなど）．
C,モデリングとシミュレーション,4,データの理解・検証,スキル,DS-056,E,3.5,KA01.06,スコープ，検討範囲・内容が明快に設定されていれば，必要なデータ，分析手法，可視化などを適切に選択できる．
C,モデリングとシミュレーション,4,データの理解・検証,スキル,DS-057,E,3,KA01.06,ニュース記事などで統計情報に接したときに，数字やグラフの持つメッセージを理解できる．
C,モデリングとシミュレーション,4,データの理解・検証,スキル,DS-058,T1,0.8,KA01.06,単独のグラフに対して，集計ミスなどがないかチェックできる．
C,モデリングとシミュレーション,4,データの理解・検証,スキル,DS-059,T1,2,KA01.06,データ項目やデータの量・質について，指示のもと正しく検証し，結果を説明できる．
C,モデリングとシミュレーション,4,データの理解・検証,スキル,DS-060,E,3,KA01.06,データが生み出された背景を考え，鵜呑みにはしないことの重要性を理解している．
C,モデリングとシミュレーション,4,データの理解・検証,スキル,DS-061,E,3,KA01.06,データから事実を正しく浮き彫りにするために，集計の切り口や比較対象の設定が重要であることを理解している．
C,モデリングとシミュレーション,4,データの理解・検証,スキル,DS-062,E,1.5,KA01.06,普段業務で扱っているデータの発生トリガー・タイミング・頻度などを説明でき，また基本統計量を把握している．
C,モデリングとシミュレーション,4,データの理解・検証,スキル,DS-063,E,3,KA01.06,何のために集計しているか，どのような知見を得たいのか，目的に即して集計できる．
C,モデリングとシミュレーション,4,データの理解・検証,スキル,DS-064,E,3,KA01.06,分析・図表から直接的な意味合いを抽出できる．（バラツキ，有意性，分布傾向，特異性，関連性，変曲点，関連度の高低など）
C,モデリングとシミュレーション,5,言語処理,スキル,DS-065,E,3,KA01.06,想定に影響されず，分布結果の数値を客観的に解釈できる．
C,モデリングとシミュレーション,5,言語処理,スキル,DS-071,E,1.5,KA01.06,テキストデータに対する代表的なクリーニング処理（小文字化，数値置換，半角変換，記号除去，ステミングなど）をタスクに応じて適切に実施できる．
C,モデリングとシミュレーション,6,画像・動画処理,スキル,DS-072,E,1.5,KA01.06,形態素解析や係り受け解析の概念を説明できる．
C,モデリングとシミュレーション,6,画像・動画処理,スキル,DS-073,E,1.5,KA01.06,画像のデジタル表現の仕組みと代表的な画像フォーマットを知っている．
C,モデリングとシミュレーション,6,画像・動画処理,スキル,DS-074,T1,2,KA01.06,画像に対して，目的に応じた適切な色変換や簡単なフィルタ処理などを行うことができる．
C,モデリングとシミュレーション,6,画像・動画処理,スキル,DS-075,T1,2,KA01.06,画像データに対する代表的なクリーニング処理（リサイズ，バティング，標準化など）をタスクに応じて適切に実施できる．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,知識,DS-076,T2,1.5,KA01.06,動画のデジタル表現の仕組みと代表的な動画フォーマットを理解しており，動画から画像を抽出する既存方法を使うことができる．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,知識,ACM-09-01,T1,0.5,KA02.01,「電力の壁」の概念を理解している．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,知識,ACM-09-02,T1,0.5,KA02.01,ビット，バイト，ワードを理解している．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,知識,ACM-09-03,T1,0.5,KA02.01,数値データの表現を理解している．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,知識,ACM-09-04,T1,1,KA02.01,CPUとGPUを理解している．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,知識,ACM-09-05,T2,0.5,KA02.01,非数値データの表現を理解している．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,知識,ACM-09-06,T2,0.5,KA02.01,マルチコアとマルチプロセッシングを理解している．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,知識,ACM-09-07,T2,0.5,KA02.01,ノイマン型アーキテクチャの基本構成を理解している．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,スキル,ACM-09-08,T2,0.5,KA02.01,"並列アーキテクチャ（例：SIMD, MIMD）を理解している．"
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,スキル,ACM-09-09,T1,0.5,KA02.01,プロセッサの性能をさらに向上させ，並列処理の活用を推進する観点から，「電力の壁」の意味を説明できる．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,スキル,ACM-09-10,T1,1,KA02.01,固定長の数値表現の精度への影響を説明できる．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,スキル,ACM-09-11,T1,2,KA02.01,（GPUの特化された目的と比較対照して）CPUの役割を説明できる．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,スキル,ACM-09-12,T2,1,KA02.01,文字，文字列，画像などの非数値データの内部表現を説明できる．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,スキル,ACM-09-13,T2,0.5,KA02.01,マルチコアシステムとマルチプロセッサシステムの違いを説明できる．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,スキル,ACM-09-14,T2,1,KA02.01,古典的なフォンノイマンアーキテクチャの構成とその主要な機能ユニットを説明できる．
D1,コンピュータサイエンス基礎,1,基本的なコンピュータアーキテクチャ,態度,ACM-09-15,T2,0.5,KA02.01,古典的なフォンノイマンモデルを超えた並列処理の概念を説明できる．
D1,コンピュータサイエンス基礎,2,ストレージシステムの基礎,知識,ACM-09-16,T1,1,KA02.01,最新のコンピューティングデバイスにおけるデータ表現とプロセッサ速度の利点と制限を理解している．
D1,コンピュータサイエンス基礎,2,ストレージシステムの基礎,知識,ACM-10-01,T1,1,KA02.01,記憶システムとその技術を理解している．
D1,コンピュータサイエンス基礎,2,ストレージシステムの基礎,知識,ACM-10-02,T1,1,KA02.01,レジスタ，キャッシュ，RAMを理解している．
D1,コンピュータサイエンス基礎,2,ストレージシステムの基礎,スキル,ACM-10-03,T1,1,KA02.01,仮想記憶を理解している．
